recording_id,audio_path,species_label,species_common_name,scientific_name,species_source,recording_source,split,notes
XC1005434_Turdus_merula,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Blackbird/XC1005434_Turdus_merula.mp3,blackbird,Common Blackbird,Turdus merula,xeno_canto,web,train,
XC1048238_Turdus_merula,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Blackbird/XC1048238_Turdus_merula.mp3,blackbird,Common Blackbird,Turdus merula,xeno_canto,web,train,
XC1051587_Turdus_merula,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Blackbird/XC1051587_Turdus_merula.wav,blackbird,Common Blackbird,Turdus merula,xeno_canto,web,train,
XC1059473_Turdus_merula,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Blackbird/XC1059473_Turdus_merula.wav,blackbird,Common Blackbird,Turdus merula,xeno_canto,web,train,
XC1073251_Turdus_merula,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Blackbird/XC1073251_Turdus_merula.wav,blackbird,Common Blackbird,Turdus merula,xeno_canto,web,train,
XC1085252_Turdus_merula,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Blackbird/XC1085252_Turdus_merula.wav,blackbird,Common Blackbird,Turdus merula,xeno_canto,web,train,
XC1085253_Turdus_merula,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Blackbird/XC1085253_Turdus_merula.wav,blackbird,Common Blackbird,Turdus merula,xeno_canto,web,train,
XC1086247_Turdus_merula,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Blackbird/XC1086247_Turdus_merula.wav,blackbird,Common Blackbird,Turdus merula,xeno_canto,web,train,
XC1089165_Turdus_merula,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Blackbird/XC1089165_Turdus_merula.wav,blackbird,Common Blackbird,Turdus merula,xeno_canto,web,train,
XC139084_Turdus_merula,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Blackbird/XC139084_Turdus_merula.mp3,blackbird,Common Blackbird,Turdus merula,xeno_canto,web,train,
XC180418_Turdus_merula,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Blackbird/XC180418_Turdus_merula.mp3,blackbird,Common Blackbird,Turdus merula,xeno_canto,web,train,
XC180419_Turdus_merula,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Blackbird/XC180419_Turdus_merula.mp3,blackbird,Common Blackbird,Turdus merula,xeno_canto,web,train,
XC187232_Turdus_merula,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Blackbird/XC187232_Turdus_merula.mp3,blackbird,Common Blackbird,Turdus merula,xeno_canto,web,train,
