recording_id,audio_path,species_label,species_common_name,scientific_name,species_source,recording_source,split,notes
XC1041704_Passer_domesticus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/House_Sparrow/XC1041704_Passer_domesticus.wav,house_sparrow,House Sparrow,Passer domesticus,xeno_canto,web,train,
XC1083338_Passer_domesticus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/House_Sparrow/XC1083338_Passer_domesticus.wav,house_sparrow,House Sparrow,Passer domesticus,xeno_canto,web,train,
XC1089172_Passer_domesticus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/House_Sparrow/XC1089172_Passer_domesticus.wav,house_sparrow,House Sparrow,Passer domesticus,xeno_canto,web,train,
XC453903_Passer_domesticus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/House_Sparrow/XC453903_Passer_domesticus.mp3,house_sparrow,House Sparrow,Passer domesticus,xeno_canto,web,train,
XC502826_Passer_domesticus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/House_Sparrow/XC502826_Passer_domesticus.mp3,house_sparrow,House Sparrow,Passer domesticus,xeno_canto,web,train,
XC530545_Passer_domesticus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/House_Sparrow/XC530545_Passer_domesticus.mp3,house_sparrow,House Sparrow,Passer domesticus,xeno_canto,web,train,
XC541041_Passer_domesticus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/House_Sparrow/XC541041_Passer_domesticus.mp3,house_sparrow,House Sparrow,Passer domesticus,xeno_canto,web,train,
XC546880_Passer_domesticus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/House_Sparrow/XC546880_Passer_domesticus.mp3,house_sparrow,House Sparrow,Passer domesticus,xeno_canto,web,train,
XC554794_Passer_domesticus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/House_Sparrow/XC554794_Passer_domesticus.mp3,house_sparrow,House Sparrow,Passer domesticus,xeno_canto,web,train,
XC570011_Passer_domesticus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/House_Sparrow/XC570011_Passer_domesticus.mp3,house_sparrow,House Sparrow,Passer domesticus,xeno_canto,web,train,
XC575318_Passer_domesticus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/House_Sparrow/XC575318_Passer_domesticus.mp3,house_sparrow,House Sparrow,Passer domesticus,xeno_canto,web,train,
XC580074_Passer_domesticus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/House_Sparrow/XC580074_Passer_domesticus.mp3,house_sparrow,House Sparrow,Passer domesticus,xeno_canto,web,train,
XC580908_Passer_domesticus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/House_Sparrow/XC580908_Passer_domesticus.mp3,house_sparrow,House Sparrow,Passer domesticus,xeno_canto,web,train,
XC591484_Passer_domesticus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/House_Sparrow/XC591484_Passer_domesticus.mp3,house_sparrow,House Sparrow,Passer domesticus,xeno_canto,web,train,
XC593782_Passer_domesticus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/House_Sparrow/XC593782_Passer_domesticus.mp3,house_sparrow,House Sparrow,Passer domesticus,xeno_canto,web,train,
