recording_id,audio_path,species_label,species_common_name,scientific_name,species_source,recording_source,split,notes
XC1011343_-_Eurasian_Wren_-_Troglodytes_troglodytes,/tmp/wren_fastcheck_sources/XC1011343 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1011523_-_Eurasian_Wren_-_Troglodytes_troglodytes,/tmp/wren_fastcheck_sources/XC1011523 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1011596_-_Eurasian_Wren_-_Troglodytes_troglodytes,/tmp/wren_fastcheck_sources/XC1011596 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1011601_-_Eurasian_Wren_-_Troglodytes_troglodytes,/tmp/wren_fastcheck_sources/XC1011601 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1011966_-_Eurasian_Wren_-_Troglodytes_troglodytes,/tmp/wren_fastcheck_sources/XC1011966 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1014917_-_Eurasian_Wren_-_Troglodytes_troglodytes,/tmp/wren_fastcheck_sources/XC1014917 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1014918_-_Eurasian_Wren_-_Troglodytes_troglodytes,/tmp/wren_fastcheck_sources/XC1014918 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1016414_-_Eurasian_Wren_-_Troglodytes_troglodytes,/tmp/wren_fastcheck_sources/XC1016414 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1019693_-_Eurasian_Wren_-_Troglodytes_troglodytes,/tmp/wren_fastcheck_sources/XC1019693 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1023365_-_Eurasian_Wren_-_Troglodytes_troglodytes,/tmp/wren_fastcheck_sources/XC1023365 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
