recording_id,audio_path,species_label,species_common_name,scientific_name,species_source,recording_source,split,notes
XC1016518_-_Common_Wood_Pigeon_-_Columba_palumbus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Common_Wood_Pigeon /XC1016518 - Common Wood Pigeon - Columba palumbus.wav,wood_pigeon,Common Wood Pigeon,Columba palumbus,drive_folder,web,train,
XC1016519_-_Common_Wood_Pigeon_-_Columba_palumbus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Common_Wood_Pigeon /XC1016519 - Common Wood Pigeon - Columba palumbus.wav,wood_pigeon,Common Wood Pigeon,Columba palumbus,drive_folder,web,train,
XC1017122_-_Common_Wood_Pigeon_-_Columba_palumbus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Common_Wood_Pigeon /XC1017122 - Common Wood Pigeon - Columba palumbus.wav,wood_pigeon,Common Wood Pigeon,Columba palumbus,drive_folder,web,train,
XC1018736_-_Common_Wood_Pigeon_-_Columba_palumbus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Common_Wood_Pigeon /XC1018736 - Common Wood Pigeon - Columba palumbus.wav,wood_pigeon,Common Wood Pigeon,Columba palumbus,drive_folder,web,train,
XC1019154_-_Common_Wood_Pigeon_-_Columba_palumbus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Common_Wood_Pigeon /XC1019154 - Common Wood Pigeon - Columba palumbus.mp3,wood_pigeon,Common Wood Pigeon,Columba palumbus,drive_folder,web,train,
XC1026959_-_Common_Wood_Pigeon_-_Columba_palumbus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Common_Wood_Pigeon /XC1026959 - Common Wood Pigeon - Columba palumbus.mp3,wood_pigeon,Common Wood Pigeon,Columba palumbus,drive_folder,web,train,
XC1031674_-_Common_Wood_Pigeon_-_Columba_palumbus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Common_Wood_Pigeon /XC1031674 - Common Wood Pigeon - Columba palumbus.wav,wood_pigeon,Common Wood Pigeon,Columba palumbus,drive_folder,web,train,
XC1032301_-_Common_Wood_Pigeon_-_Columba_palumbus_2,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Common_Wood_Pigeon /XC1032301 - Common Wood Pigeon - Columba palumbus 2.mp3,wood_pigeon,Common Wood Pigeon,Columba palumbus,drive_folder,web,train,
XC1032301_-_Common_Wood_Pigeon_-_Columba_palumbus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Common_Wood_Pigeon /XC1032301 - Common Wood Pigeon - Columba palumbus.mp3,wood_pigeon,Common Wood Pigeon,Columba palumbus,drive_folder,web,train,
XC1038219_Columba_palumbus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Common_Wood_Pigeon /XC1038219_Columba_palumbus.wav,wood_pigeon,Common Wood Pigeon,Columba palumbus,drive_folder,web,train,
