recording_id,audio_path,species_label,species_common_name,scientific_name,species_source,recording_source,split,notes
XC1011343_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1011343 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1011523_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1011523 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1011596_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1011596 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1011601_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1011601 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1011966_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1011966 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1014917_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1014917 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1014918_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1014918 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1016414_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1016414 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1019693_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1019693 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1023365_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1023365 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1025758_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1025758 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1025759_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1025759 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1025762_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1025762 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1025763_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1025763 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1026978_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1026978 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1027802_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1027802 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1040474_-_Eurasian_Wren_-_Troglodytes_troglodytes_taivanus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1040474 - Eurasian Wren - Troglodytes troglodytes taivanus.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1043082_-_Eurasian_Wren_-_Troglodytes_troglodytes_2,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1043082 - Eurasian Wren - Troglodytes troglodytes 2.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1043082_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1043082 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1044015_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1044015_Troglodytes_troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1046329_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1046329_Troglodytes_troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1053191_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1053191 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1060173_-_Eurasian_Wren_-_Troglodytes_troglodytes_hirtensis,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1060173 - Eurasian Wren - Troglodytes troglodytes hirtensis.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1060186_-_Eurasian_Wren_-_Troglodytes_troglodytes_zetlandicus,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1060186 - Eurasian Wren - Troglodytes troglodytes zetlandicus.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1068101_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1068101_Troglodytes_troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1074571_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1074571 - Eurasian Wren - Troglodytes troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1074572_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1074572 - Eurasian Wren - Troglodytes troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1075276_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1075276 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1075311_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1075311 - Eurasian Wren - Troglodytes troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1075313_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1075313 - Eurasian Wren - Troglodytes troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1075414_-_Eurasian_Wren_-_Troglodytes_troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1075414 - Eurasian Wren - Troglodytes troglodytes troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1076036_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1076036 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1076037_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1076037 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1078118_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1078118 - Eurasian Wren - Troglodytes troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1078119_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1078119 - Eurasian Wren - Troglodytes troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1078120_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1078120 - Eurasian Wren - Troglodytes troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1078121_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1078121 - Eurasian Wren - Troglodytes troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1079259_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1079259 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1079260_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1079260 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1079263_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1079263 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1079264_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1079264 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1082624_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1082624 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1082625_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1082625 - Eurasian Wren - Troglodytes troglodytes.mp3,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1083692_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1083692 - Eurasian Wren - Troglodytes troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1084041_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1084041_Troglodytes_troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1086436_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1086436 - Eurasian Wren - Troglodytes troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1086531_-_Eurasian_Wren_-_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1086531 - Eurasian Wren - Troglodytes troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1088636_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1088636_Troglodytes_troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1088637_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1088637_Troglodytes_troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1088638_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1088638_Troglodytes_troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
XC1088669_Troglodytes_troglodytes,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/Bird_recordings/Wren /XC1088669_Troglodytes_troglodytes.wav,wren,Eurasian Wren,Troglodytes troglodytes,drive_folder,web,train,
