species_label,source_run_name,source_run_dir,cluster_a,cluster_b,review_label,review_confidence,review_notes
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,0,1,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,0,2,same,5,"Same canonical group bb_g0"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,0,3,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,0,4,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,0,5,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,0,6,same,5,"Same canonical group bb_g0"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,0,7,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,0,8,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,0,9,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,1,2,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,1,3,same,5,"Same canonical group bb_g1"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,1,4,same,5,"Same canonical group bb_g1"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,1,5,same,5,"Same canonical group bb_g1"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,1,6,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,1,7,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,1,8,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,1,9,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,2,3,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,2,4,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,2,5,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,2,6,same,5,"Same canonical group bb_g0"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,2,7,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,2,8,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,2,9,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,3,4,same,5,"Same canonical group bb_g1"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,3,5,same,5,"Same canonical group bb_g1"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,3,6,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,3,7,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,3,8,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,3,9,different,5,"Different canonical groups from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,4,5,same,5,"Same canonical group bb_g1"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,4,6,different,5,"Different canonical groups from listening review"
