recording_id,excluded_category,reason
XC1105531_Erithacus_rubecula,alarm,"mixed content: 'song, distress call' — song passage would train as alarm"
XC995482_Erithacus_rubecula,alarm,"mixed content: 'alarm call, song'"
XC906671_Erithacus_rubecula,alarm,"mixed content: 'alarm call, song'"
XC801031_Erithacus_rubecula,alarm,"mixed content: 'alarm call, song'"
XC758199_Erithacus_rubecula,alarm,"mixed content: 'alarm call, call, song'"
XC637829_Erithacus_rubecula,alarm,"mixed content: 'alarm call, flight call, song'"
XC527464_Erithacus_rubecula,alarm,"mixed content: 'alarm call, call, subsong'"
XC363083_Erithacus_rubecula,alarm,"mixed content: 'alarm call, song'"
XC361325_Erithacus_rubecula,alarm,"mixed content: 'alarm call, song'"
XC311893_Erithacus_rubecula,alarm,"mixed content: 'alarm call, song'"
XC151363_Erithacus_rubecula,alarm,"mixed content: 'alarm call, song'"
XC919240_Erithacus_rubecula,juvenile,"juvenile SINGING (raw='song'), not begging"
XC1052675_Erithacus_rubecula,juvenile,"juvenile subsong (raw='call, subsong'), not begging"
XC546260_Erithacus_rubecula,juvenile,"mixed content: 'begging call, song'"
XC586324_Erithacus_rubecula,juvenile,"juvenile subsong (raw='subsong'), not begging"
