category,xc_id,why_selected
song,1132965,Short UK adult song A quality
song,1135232,Second short UK adult song A quality
song,540362,UK song with two bursts and stronger phrase structure
song,777055,UK territorial song example
call,442999,Short UK call
call,839227,UK call series from hedgerow
call,696805,UK call in pond-edge habitat
call,955747,UK call in mixed habitat
call,600669,UK call recorded cleanly
alarm,1044015,UK explicit alarm call reference
alarm,448884,Alarm call plus flight-call/rattle example
alarm,799671,Adult alarm/rattle from excited parent near chicks
juvenile_begging,181392,UK pure juvenile call reference
juvenile_begging,818851,Juvenile begging call with permissive CC0 license
juvenile_begging,648801,Recently fledged juvenile high-pitched calls
juvenile_begging,666932,Juvenile begging call reference
