segment,bird_start_s,bird_duration_s,response_start_s,response_duration_s,species,vocalisation,response_file
0,0.0,25.0,25.0,20.0,robin,juvenile,robin_juvenile.wav
1,45.0,25.0,70.0,20.0,tawny_owl,call,tawny_owl_call.wav
2,90.0,25.0,115.0,20.0,robin,alarm,robin_alarm.wav
3,135.0,25.0,160.0,20.0,blackbird,juvenile,blackbird_juvenile.wav
4,180.0,25.0,205.0,20.0,tawny_owl,alarm,tawny_owl_alarm.wav
5,225.0,25.0,250.0,20.0,robin,call,robin_call.wav
6,270.0,25.0,295.0,20.0,blackbird,song,blackbird_song.wav
7,315.0,25.0,340.0,20.0,tawny_owl,juvenile,tawny_owl_juvenile.wav
8,360.0,25.0,385.0,20.0,blackbird,call,blackbird_call.wav
9,405.0,25.0,430.0,20.0,tawny_owl,song,tawny_owl_song.wav
10,450.0,25.0,475.0,20.0,blackbird,alarm,blackbird_alarm.wav
11,495.0,25.0,520.0,20.0,robin,song,robin_song.wav
