file,species,vocalisation,duration_source_s,looped_to_fill_25s,recordist,country,source,source_id,source_url,license_code_raw,model_was_trained_on_this_recording
blackbird/blackbird_alarm.wav,blackbird,alarm,18.6,True,Susanne Kuijpers,Netherlands,Xeno-canto,XC864280,https://xeno-canto.org/864280,https://creativecommons.org/licenses/by-nc-sa/4.0/,False
blackbird/blackbird_call.wav,blackbird,call,14.7,True,Susanne Kuijpers,Netherlands,Xeno-canto,XC864640,https://xeno-canto.org/864640,https://creativecommons.org/licenses/by-nc-sa/4.0/,False
blackbird/blackbird_juvenile.wav,blackbird,juvenile,25.0,False,Jorge Leitão,PT,Macaulay Library,ML558054881,https://macaulaylibrary.org/asset/558054881,LICENSE4,True
blackbird/blackbird_song.wav,blackbird,song,20.9,True,Jorge Leitão,Portugal,Xeno-canto,XC788912,https://xeno-canto.org/788912,https://creativecommons.org/licenses/by-nc-sa/4.0/,False
robin/robin_alarm.wav,robin,alarm,25.0,False,Will Langdon,GB,Macaulay Library,ML278939011,https://macaulaylibrary.org/asset/278939011,LICENSE4,False
robin/robin_call.wav,robin,call,25.0,False,Peter Boesman,NL,Macaulay Library,ML286052401,https://macaulaylibrary.org/asset/286052401,LICENSE4,False
robin/robin_juvenile.wav,robin,juvenile,25.0,False,Ireneusz Oleksik,Poland,Xeno-canto,XC662392,https://xeno-canto.org/662392,https://creativecommons.org/licenses/by-nc-sa/4.0/,True
robin/robin_song.wav,robin,song,25.0,False,Dominic Garcia-Hall,GB,Macaulay Library,ML245150581,https://macaulaylibrary.org/asset/245150581,LICENSE4,False
tawny_owl/tawny_owl_alarm.wav,tawny owl,alarm,11.1,True,Zsombor Károlyi,Sweden,Xeno-canto,XC1088119,https://xeno-canto.org/1088119,https://creativecommons.org/licenses/by-nc-sa/4.0/,False
tawny_owl/tawny_owl_call.wav,tawny owl,call,25.0,False,Marco Preziosi,Slovenia,Xeno-canto,XC1009577,https://xeno-canto.org/1009577,https://creativecommons.org/licenses/by-nc-sa/4.0/,False
tawny_owl/tawny_owl_juvenile.wav,tawny owl,juvenile,25.0,False,Romuald Mikusek,Poland,Xeno-canto,XC1075076,https://xeno-canto.org/1075076,https://creativecommons.org/licenses/by-nc-sa/4.0/,False
tawny_owl/tawny_owl_song.wav,tawny owl,song,25.0,False,Santiago Caballero Carrera,Spain,Xeno-canto,XC1018926,https://xeno-canto.org/1018926,https://creativecommons.org/licenses/by-nc-sa/4.0/,False
