species,expected,file,got_species,got_vocalisation,species_conf,match_conf,correct
blackbird,song,blackbird_song_XC1015476_Turdus_merula.wav,blackbird,song,0.882,0.988,True
blackbird,song,blackbird_song_XC764740_Turdus_merula.wav,blackbird,song,0.921,0.901,True
blackbird,song,blackbird_song_XC788912_Turdus_merula.wav,blackbird,song,0.417,0.987,True
blackbird,song,blackbird_song_XC858033_Turdus_merula.wav,blackbird,song,0.99,0.752,True
blackbird,song,blackbird_song_XC870728_Turdus_merula.wav,blackbird,song,0.908,0.994,True
blackbird,song,blackbird_song_XC883338_Turdus_merula.wav,blackbird,song,0.999,0.995,True
blackbird,call,blackbird_call_XC1094672_Turdus_merula.wav,blackbird,alarm,0.991,0.858,False
blackbird,call,blackbird_call_XC1163364_Turdus_merula.wav,,,0.068,0.0,False
blackbird,call,blackbird_call_XC864639_Turdus_merula.wav,blackbird,call,0.891,0.872,True
blackbird,call,blackbird_call_XC864640_Turdus_merula.wav,blackbird,call,0.773,0.81,True
blackbird,call,blackbird_call_XC864641_Turdus_merula.wav,blackbird,alarm,0.985,0.862,False
blackbird,call,blackbird_call_XC899494_Turdus_merula.wav,,,0.074,0.0,False
blackbird,alarm,blackbird_alarm_XC782408_Turdus_merula.wav,blackbird,call,0.739,0.684,False
blackbird,alarm,blackbird_alarm_XC786895_Turdus_merula.wav,blackbird,call,0.886,0.857,False
blackbird,alarm,blackbird_alarm_XC826077_Turdus_merula.wav,blackbird,call,0.481,0.795,False
blackbird,alarm,blackbird_alarm_XC864280_Turdus_merula.wav,blackbird,alarm,0.928,0.916,True
blackbird,alarm,blackbird_alarm_XC938476_Turdus_merula.wav,,,0.0,0.0,False
blackbird,alarm,blackbird_alarm_XC965144_Turdus_merula.wav,blackbird,call,0.249,0.974,False
blackbird,juvenile,blackbird_juvenile_XC1024187_Turdus_merula.wav,,,0.026,0.0,False
blackbird,juvenile,blackbird_juvenile_XC252566_Turdus_merula.wav,,,0.016,0.0,False
blackbird,juvenile,blackbird_juvenile_XC263192_Turdus_merula.wav,blackbird,song,0.91,0.942,False
blackbird,juvenile,blackbird_juvenile_XC270284_Turdus_merula.wav,blackbird,call,0.602,0.989,False
blackbird,juvenile,blackbird_juvenile_XC376980_Turdus_merula.wav,,,0.0,0.0,False
blackbird,juvenile,blackbird_juvenile_XC385054_Turdus_merula.wav,blackbird,song,0.718,0.938,False
tawny_owl,song,tawny_owl_song_XC1003784_Strix_aluco.wav,tawny_owl,song,0.982,0.906,True
tawny_owl,song,tawny_owl_song_XC1015485_Strix_aluco.wav,tawny_owl,song,0.999,0.9,True
tawny_owl,song,tawny_owl_song_XC1018924_Strix_aluco.wav,tawny_owl,song,0.99,0.941,True
tawny_owl,song,tawny_owl_song_XC1018926_Strix_aluco.wav,tawny_owl,song,0.995,0.967,True
tawny_owl,song,tawny_owl_song_XC1033371_Strix_aluco.wav,tawny_owl,song,0.951,0.941,True
tawny_owl,song,tawny_owl_song_XC1036214_Strix_aluco.wav,tawny_owl,call,1.0,0.905,False
tawny_owl,call,tawny_owl_call_XC1009577_Strix_aluco.wav,tawny_owl,call,1.0,0.983,True
tawny_owl,call,tawny_owl_call_XC1028462_Strix_aluco.wav,tawny_owl,call,0.974,0.775,True
tawny_owl,call,tawny_owl_call_XC1028838_Strix_aluco.wav,tawny_owl,alarm,0.997,0.747,False
tawny_owl,call,tawny_owl_call_XC1036087_Strix_aluco.wav,tawny_owl,call,0.592,0.871,True
tawny_owl,call,tawny_owl_call_XC1036088_Strix_aluco.wav,tawny_owl,call,0.998,0.882,True
tawny_owl,call,tawny_owl_call_XC1036214_Strix_aluco.wav,tawny_owl,call,1.0,0.905,True
tawny_owl,alarm,tawny_owl_alarm_XC1025071_Strix_aluco.wav,tawny_owl,song,0.996,0.78,False
tawny_owl,alarm,tawny_owl_alarm_XC1027218_Strix_aluco.wav,,,0.0,0.0,False
tawny_owl,alarm,tawny_owl_alarm_XC1075562_Strix_aluco.wav,tawny_owl,alarm,0.63,0.873,True
tawny_owl,alarm,tawny_owl_alarm_XC1088118_Strix_aluco.wav,tawny_owl,call,0.981,0.785,False
tawny_owl,alarm,tawny_owl_alarm_XC1088119_Strix_aluco.wav,tawny_owl,alarm,0.998,0.837,True
tawny_owl,alarm,tawny_owl_alarm_XC1149562_Strix_aluco.wav,tawny_owl,call,0.618,0.738,False
tawny_owl,juvenile,tawny_owl_juvenile_XC1003176_Strix_aluco.wav,tawny_owl,juvenile,0.949,0.987,True
tawny_owl,juvenile,tawny_owl_juvenile_XC1006375_Strix_aluco.wav,tawny_owl,juvenile,0.162,0.716,True
tawny_owl,juvenile,tawny_owl_juvenile_XC1015842_Strix_aluco.wav,tawny_owl,juvenile,0.883,0.993,True
tawny_owl,juvenile,tawny_owl_juvenile_XC1075076_Strix_aluco.wav,tawny_owl,juvenile,0.996,0.996,True
tawny_owl,juvenile,tawny_owl_juvenile_XC1135358_Strix_aluco.wav,,,0.055,0.0,False
tawny_owl,juvenile,tawny_owl_juvenile_XC1151878_Strix_aluco.wav,tawny_owl,juvenile,0.445,0.832,True
robin,song,robin_song_song_89108201.wav,robin,song,0.994,0.991,True
robin,song,robin_song_song_266756831.wav,robin,song,0.983,0.887,True
robin,song,robin_song_song_245150581.wav,robin,song,0.171,0.978,True
robin,song,robin_song_song_203900071.wav,robin,song,0.987,0.817,True
robin,song,robin_song_song_373495141.wav,robin,song,0.915,0.79,True
robin,song,robin_song_song_142929721.wav,robin,song,0.952,0.987,True
robin,call,robin_call_call_286052401.wav,robin,call,0.956,0.982,True
robin,call,robin_call_call_609610419.wav,robin,alarm,0.97,0.908,False
robin,call,robin_call_call_473246601.wav,robin,call,0.928,0.91,True
robin,call,robin_call_call_32278521.wav,robin,alarm,0.977,0.915,False
robin,call,robin_call_call_662815206.wav,robin,alarm,0.964,0.948,False
robin,call,robin_call_call_654879033.wav,,,0.067,0.0,False
robin,alarm,robin_alarm_alarm_608441164.wav,robin,alarm,0.299,0.923,True
robin,alarm,robin_alarm_alarm_639563253.wav,robin,call,0.19,0.979,False
robin,alarm,robin_alarm_alarm_639563261.wav,robin,call,0.404,0.822,False
robin,alarm,robin_alarm_alarm_278939011.wav,robin,alarm,0.955,0.968,True
robin,alarm,robin_alarm_alarm_179854171.wav,robin,call,0.893,0.947,False
robin,alarm,robin_alarm_alarm_652769689.wav,robin,song,0.974,0.834,False
robin,juvenile,robin_juvenile_juvenile_262976391.wav,robin,song,0.18,0.986,False
robin,juvenile,robin_juvenile_juvenile_203891911.wav,,,0.0,0.0,False
robin,juvenile,robin_juvenile_juvenile_203891901.wav,,,0.042,0.0,False
robin,juvenile,robin_juvenile_juvenile_486939031.wav,,,0.087,0.0,False
robin,juvenile,robin_juvenile_juvenile_472712491.wav,robin,alarm,0.956,0.955,False
robin,juvenile,robin_juvenile_juvenile_181629.wav,robin,alarm,0.609,0.747,False
